Name,Current_Cheapest,Trend,Avg30,URL_All_Sellers,URL_German_Only
Land Tax,52.0,57.27,56.97,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Land-Tax,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Land-Tax?sellerCountry=7&language=1&minCondition=3
Swords to Plowshares,57.8,69.99,61.34,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Swords-To-Plowshares,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Swords-To-Plowshares?sellerCountry=7&language=1&minCondition=3
Shallow Grave,64.95,78.54,74.94,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Shallow-Grave,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Shallow-Grave?sellerCountry=7&language=1&minCondition=3
Ancient Tomb,68.0,75.74,84.0,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Ancient-Tomb,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Ancient-Tomb?sellerCountry=7&language=1&minCondition=3
Tolarian Academy,72.0,84.91,97.09,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Tolarian-Academy,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Tolarian-Academy?sellerCountry=7&language=1&minCondition=3
Underworld Dreams,81.98,91.26,86.61,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Underworld-Dreams,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Underworld-Dreams?sellerCountry=7&language=1&minCondition=3
Winter Orb,90.0,111.64,84.89,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Winter-Orb,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Winter-Orb?sellerCountry=7&language=1&minCondition=3
Sliver Queen,128.88,158.33,164.68,https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Sliver-Queen,https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Sliver-Queen?sellerCountry=7&language=1&minCondition=3
Mana Drain,138.84,152.86,136.0,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Mana-Drain,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Mana-Drain?sellerCountry=7&language=1&minCondition=3
Survival of the Fittest,170.0,189.55,188.38,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Survival-Of-The-Fittest,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Survival-Of-The-Fittest?sellerCountry=7&language=1&minCondition=3
